0,1427.01,-2.10998
1,1433.9,-2.07151
2,1430.8,-2.02806
3,1429.04,-1.96865
4,1428.35,-1.89253
5,1425.9,-1.81116
6,1422.7,-1.72537
7,1420.43,-1.6352
8,1415.88,-1.54089
9,1410.19,-1.43861
10,1404.21,-1.3323
11,1396.97,-1.22867
12,1389.49,-1.12254
13,1380.93,-1.01528
14,1371.78,-0.908567
15,1362.03,-0.801641
16,1351.92,-0.692017
17,1341.08,-0.584831
18,1329.91,-0.479663
19,1318.59,-0.37688
20,1306.92,-0.276958
21,1295.16,-0.178315
22,1283.46,-0.0802005
23,1271.67,0.0161783
24,1259.95,0.108621
25,1248.38,0.200074
26,1237.36,0.28794
27,1225.82,0.371333
28,1214.2,0.448365
29,1203.1,0.522452
30,1192.5,0.59326
31,1181.06,0.659445
32,1169.71,0.722744
33,1158.38,0.782591
34,1147.29,0.839922
35,1136.31,0.895671
36,1125.05,0.947063
37,1113.44,0.999735
38,1102.16,1.04633
39,1091.06,1.08677
40,1079.92,1.12069
41,1068.93,1.15096
42,1058.07,1.18172
43,1047.11,1.21523
44,1036.12,1.24357
45,1025.51,1.26887
46,1014.92,1.29055
47,1004.31,1.30975
48,993.522,1.32443
49,982.883,1.33583
50,972.02,1.34267
51,961.345,1.34735
52,950.679,1.34907
53,940.658,1.34959
54,930.092,1.34395
55,920.125,1.33339
56,909.944,1.32161
57,899.735,1.31136
58,889.578,1.29886
59,879.741,1.2863
60,869.486,1.27617
61,860.18,1.26193
62,850.711,1.24356
63,841.476,1.22424
64,832.256,1.2033
65,822.978,1.17997
66,813.368,1.15463
67,804.779,1.13227
68,796.171,1.11042
69,788.003,1.08429
70,779.61,1.0608
71,771.891,1.03385
72,766.04,1.01385
73,758.047,0.984752
74,750.246,0.957128
75,743.145,0.930433
76,735.821,0.901529
77,729.251,0.876773
78,722.066,0.847539
79,714.929,0.820441
80,707.722,0.790405
81,701.395,0.763927
82,694.786,0.73763
83,688,0.712116
84,681.638,0.68356
85,675.323,0.65733
86,668.974,0.629429
87,663.534,0.603512
88,657.856,0.589512
89,652.29,0.571525
90,646.599,0.550362
91,641.257,0.527779
92,635.639,0.504438
93,630.388,0.480864
94,625.264,0.458905
95,620.325,0.440192
96,615.235,0.422267
97,610.343,0.403943
98,605.741,0.382017
99,602.29,0.364199
100,598.693,0.351677
101,593.719,0.333041
102,589.975,0.314699
103,590.082,0.302421
104,586.222,0.289502
105,581.72,0.273553
106,577.308,0.255066
107,572.855,0.235259
108,570.159,0.214525
109,566.06,0.194524
110,560.499,0.178469
111,556.82,0.167834
112,552.659,0.155945
113,548.709,0.142465
114,544.883,0.130453
115,540.888,0.118702
116,537.074,0.105941
117,533.479,0.0937596
118,529.76,0.0843921
119,526.204,0.0737641
120,522.629,0.0614538
121,518.843,0.0509338
122,515.362,0.0422803
123,511.914,0.0337802
124,508.498,0.0233064
125,505.22,0.0119345
126,501.978,0.0034683
127,498.528,-0.00638507
128,496.137,-0.0170374
129,493.016,-0.0244114
130,489.8,-0.0352367
131,486.685,-0.0459375
132,483.591,-0.0528301
133,480.523,-0.0597244
134,477.554,-0.0665269
135,474.594,-0.0746178
136,471.629,-0.0824062
137,468.777,-0.088922
138,465.992,-0.0946738
139,463.288,-0.100116
140,460.474,-0.105296
141,457.72,-0.110011
142,455.307,-0.113849
143,452.931,-0.117863
144,450.215,-0.120906
145,447.579,-0.121369
146,445.111,-0.124152
147,442.467,-0.128078
148,439.856,-0.132691
149,437.182,-0.13749
150,434.596,-0.140289
151,432.036,-0.143162
152,429.38,-0.144054
153,426.752,-0.142434
154,424.138,-0.13951
155,421.476,-0.135139
156,418.97,-0.129935
157,416.388,-0.126218
158,413.82,-0.123463
159,411.463,-0.1209
160,408.921,-0.117112
161,406.633,-0.110502
162,404.122,-0.103385
163,401.586,-0.0955533
164,399.018,-0.0875619
165,396.507,-0.0792999
166,394.001,-0.0711206
167,391.546,-0.0634534
168,389.092,-0.0547636
169,386.656,-0.0464007
170,384.234,-0.0380271
171,381.81,-0.0305815
172,379.488,-0.0232869
173,377.132,-0.0161128
174,374.815,-0.00941239
175,372.5,-0.00305022
176,370.428,0.00428857
177,368.207,0.0109001
178,366.241,0.0198377
179,363.956,0.0303413
180,361.669,0.0420825
181,359.508,0.0535157
182,357.377,0.0637315
183,355.265,0.0742904
184,353.159,0.0861143
185,351.013,0.0987107
186,348.969,0.109637
187,346.948,0.118949
188,344.966,0.128196
189,342.978,0.138102
190,341.092,0.147452
191,339.144,0.156861
192,337.288,0.167025
193,335.43,0.177216
194,333.588,0.187016
195,331.774,0.195258
196,330.02,0.202924
197,328.302,0.209499
198,326.538,0.214411
199,324.832,0.22028
200,323.107,0.226342
201,321.417,0.232434
202,319.782,0.23783
203,318.145,0.242826
204,316.55,0.24747
205,314.987,0.251448
206,313.471,0.255641
207,311.975,0.259337
208,310.46,0.263641
209,308.986,0.268539
210,307.528,0.273127
211,306.073,0.277949
212,304.676,0.283941
213,303.302,0.29093
214,301.964,0.297125
215,300.572,0.301318
216,299.329,0.305064
217,297.986,0.309208
218,296.645,0.314243
219,295.338,0.319388
220,294.07,0.323883
221,292.784,0.327957
222,291.567,0.332527
223,290.308,0.336316
224,289.085,0.339665
225,287.904,0.343165
226,286.684,0.346645
227,285.478,0.349308
228,284.315,0.352552
229,283.141,0.355986
230,282.01,0.360328
231,280.86,0.364577
232,279.706,0.367703
