-0.0507827	-11.6935	7807.8	0.242	0.212893	903.436	49.814	68.8369	0.00875644
-0.0508062	-24.8591	7807.8	0.242	0.210259	903.408	49.8621	69.5175	0.039574
-0.0508383	-25.1377	7807.8	0.242	0.208991	903.351	50.0153	69.1977	0.0404662
-0.0508708	-25.4349	7807.8	0.242	0.206112	903.292	50.1206	69.0247	0.0414286
-0.0509037	-25.7658	7807.8	0.242	0.202829	903.233	50.1841	68.9097	0.0425135
-0.050937	-26.1171	7807.8	0.242	0.200584	903.173	50.2184	68.8024	0.0436809
-0.0509709	-26.4874	7807.8	0.242	0.198691	903.113	50.2744	68.6708	0.0449284
-0.0510051	-26.8711	7807.8	0.242	0.197182	903.051	50.2943	68.5859	0.0462395
-0.0510399	-27.2651	7807.8	0.242	0.196608	902.989	50.2205	68.634	0.0476053
-0.0510752	-27.6602	7807.8	0.242	0.196871	902.926	50.0609	68.7252	0.0489949
-0.0511111	-28.0559	7807.8	0.242	0.197346	902.861	49.9215	68.7977	0.0504068
-0.0511474	-28.4435	7807.8	0.242	0.19743	902.796	49.8256	68.8178	0.0518094
-0.0511842	-28.8344	7807.8	0.242	0.196832	902.73	49.7348	68.8232	0.0532432
-0.0512215	-29.2332	7807.8	0.242	0.196499	902.663	49.6388	68.8537	0.0547259
-0.0512593	-29.6268	7807.8	0.242	0.196666	902.596	49.5722	68.8462	0.0562098
-0.0512976	-30.0226	7807.8	0.242	0.196429	902.527	49.4883	68.862	0.0577216
-0.0513365	-30.4199	7807.8	0.242	0.196187	902.457	49.3776	68.9038	0.0592595
-0.0513758	-30.8224	7807.8	0.242	0.196064	902.387	49.2563	68.9556	0.0608378
-0.0514157	-31.2189	7807.8	0.242	0.196459	902.315	49.0913	69.0571	0.0624134
-0.0514561	-31.6141	7807.8	0.242	0.197007	902.243	48.8975	69.1783	0.0640034
-0.0514969	-31.9998	7807.8	0.242	0.197845	902.169	48.6919	69.3289	0.0655746
-0.0515383	-32.3765	7807.8	0.242	0.198755	902.095	48.4719	69.4805	0.0671274
-0.0515801	-32.744	7807.8	0.242	0.199826	902.02	48.2589	69.6238	0.0686601
-0.0516224	-33.1026	7807.8	0.242	0.200926	901.944	48.0761	69.7325	0.0701725
-0.0516651	-33.4509	7807.8	0.242	0.202038	901.868	47.9156	69.8165	0.0716567
-0.0517083	-33.7885	7807.8	0.242	0.203287	901.79	47.782	69.8799	0.0731103
-0.0517519	-34.116	7807.8	0.242	0.204478	901.712	47.6585	69.9212	0.0745343
-0.0517959	-34.4327	7807.8	0.242	0.205821	901.633	47.552	69.9674	0.0759247
-0.0518403	-34.7365	7807.8	0.242	0.206847	901.553	47.5027	69.9502	0.0772705
-0.0518851	-35.033	7807.8	0.242	0.207354	901.473	47.4938	69.8833	0.078595
-0.0519303	-35.3243	7807.8	0.242	0.207842	901.392	47.474	69.8208	0.0799076
-0.0519758	-35.6104	7807.8	0.242	0.208797	901.31	47.4095	69.8276	0.0812073
-0.0520217	-35.8845	7807.8	0.242	0.21005	901.228	47.368	69.8005	0.0824624
-0.0520679	-36.1461	7807.8	0.242	0.211586	901.145	47.3395	69.7652	0.0836689
-0.0521144	-36.394	7807.8	0.242	0.212811	901.061	47.3084	69.7336	0.0848204
-0.0521613	-36.632	7807.8	0.242	0.213985	900.977	47.269	69.6897	0.0859335
-0.0522084	-36.8629	7807.8	0.242	0.215532	900.892	47.1798	69.7468	0.0870202
-0.0522558	-37.0731	7807.8	0.242	0.217665	900.807	47.0389	69.8426	0.0880154
-0.0523035	-37.2622	7807.8	0.242	0.220708	900.721	46.8802	69.9316	0.0889157
-0.0523514	-37.4179	7807.8	0.242	0.224258	900.635	46.7661	69.9681	0.0896604
-0.0523995	-37.5455	7807.8	0.242	0.226888	900.549	46.6985	69.9672	0.090273
-0.0524477	-37.6501	7807.8	0.242	0.229346	900.462	46.6853	69.9129	0.0907767
-0.052496	-37.7363	7807.8	0.242	0.231532	900.375	46.6561	69.8574	0.0911925
-0.0525444	-37.8013	7807.8	0.242	0.233645	900.288	46.613	69.836	0.0915069
-0.0525928	-37.8478	7807.8	0.242	0.235552	900.201	46.5939	69.7819	0.0917324
-0.0526414	-37.8769	7807.8	0.242	0.237798	900.114	46.596	69.7027	0.0918733
-0.0526899	-37.8811	7807.8	0.242	0.240325	900.026	46.6059	69.6247	0.0918939
-0.0527384	-37.8659	7807.8	0.242	0.242422	899.939	46.6388	69.5091	0.0918201
-0.0527869	-37.8302	7807.8	0.242	0.244721	899.852	46.6346	69.449	0.0916471
-0.0528353	-37.7777	7807.8	0.242	0.246257	899.765	46.6308	69.3884	0.0913927
-0.0528836	-37.7121	7807.8	0.242	0.247584	899.678	46.6365	69.3213	0.0910759
-0.0529318	-37.6374	7807.8	0.242	0.249026	899.591	46.7274	69.1691	0.0907151
-0.05298	-37.5511	7807.8	0.242	0.251112	899.504	46.8444	68.9112	0.0902996
-0.053028	-37.4344	7807.8	0.242	0.25461	899.417	46.9077	68.7704	0.0897394
-0.0530758	-37.2892	7807.8	0.242	0.258015	899.331	46.9411	68.6581	0.0890446
-0.0531234	-37.1075	7807.8	0.242	0.261606	899.245	46.9487	68.5858	0.0881791
-0.0531707	-36.8975	7807.8	0.242	0.264556	899.16	46.9878	68.4751	0.0871835
-0.0532178	-36.6634	7807.8	0.242	0.266918	899.075	47.0448	68.3536	0.0860808
-0.0532645	-36.4113	7807.8	0.242	0.268702	898.991	47.1031	68.2376	0.084901
-0.0533109	-36.1461	7807.8	0.242	0.269955	898.907	47.1589	68.1234	0.0836687
-0.0533569	-35.8719	7807.8	0.242	0.270744	898.824	47.2191	67.9976	0.0824041
-0.0534026	-35.5924	7807.8	0.242	0.271346	898.742	47.2774	67.8824	0.0811251
